%yyyy.yyyy ___up(m)
2001.4839 0.176803
2001.4867 0.169168
2001.4894 0.171219
2001.4921 0.166456
2001.4949 0.165582
2001.4976 0.170254
2001.5003 0.163466
2001.5031 0.164830
2001.5058 0.168061
2001.5086 0.164647
2001.5113 0.167640
2001.5140 0.168168
2001.5168 0.157178
2001.5195 0.165844
2001.5222 0.163110
2001.5250 0.172325
2001.5277 0.167532
2001.5305 0.180952
2001.5332 0.160600
2001.5359 0.161244
2001.5387 0.170106
2001.5414 0.176848
2001.5441 0.172252
2001.5469 0.173120
2001.5496 0.165690
2001.5524 0.169160
2001.5551 0.164528
2001.5578 0.174777
2001.5606 0.179274
2001.5633 0.168205
2001.5661 0.170452
2001.5688 0.166518
2001.5715 0.160284
2001.5743 0.167022
2001.5770 0.174314
2001.5797 0.170534
2001.5825 0.171815
2001.5852 0.162445
2001.5880 0.170963
2001.5907 0.166997
2001.5934 0.170901
2001.5962 0.169806
2001.5989 0.171608
2001.6016 0.165118
2001.6044 0.166429
2001.6071 0.159177
2001.6099 0.165038
2001.6126 0.168968
2001.6153 0.164813
2001.6181 0.166948
2001.6208 0.165930
2001.6235 0.173824
2001.6263 0.166955
2001.6290 0.177264
2001.6318 0.172219
2001.6345 0.165311
2001.6372 0.161997
2001.6400 0.171528
2001.6427 0.161561
2001.6454 0.166344
2001.6482 0.173274
2001.6509 0.165042
2001.6537 0.164747
2001.6564 0.168015
2001.6591 0.166738
2001.6619 0.157961
2001.6646 0.158726
2001.6674 0.164733
2001.6701 0.164980
2001.6728 0.166992
2001.6756 0.159835
2001.6783 0.166766
2001.6810 0.159527
2001.6838 0.171465
2001.6865 0.167460
2001.6893 0.153550
2001.6920 0.149167
2001.6947 0.159050
2001.6975 0.154109
2001.7002 0.154856
2001.7029 0.150641
2001.7057 0.151336
2001.7084 0.150829
2001.7112 0.154885
2001.7139 0.156994
2001.7166 0.151231
2001.7248 0.162188
2001.7276 0.160020
2001.7303 0.155253
2001.7440 0.160469
2001.7467 0.168463
2001.7495 0.166921
2001.7522 0.158197
2001.7550 0.160812
2001.7577 0.162422
2001.7604 0.163296
2001.7632 0.161695
2001.7659 0.169570
2001.7687 0.164626
2001.7851 0.160840
2001.7878 0.164306
2001.7906 0.162371
2001.7933 0.165443
2001.7960 0.163901
2001.7988 0.155278
2001.8015 0.157160
2001.8042 0.160242
2001.8070 0.166172
2001.8097 0.154475
2001.8125 0.156394
2001.8152 0.167747
2001.8179 0.170246
2001.8207 0.163489
2001.8234 0.158899
2001.8261 0.161933
2001.8289 0.156982
2001.8316 0.154062
2001.8344 0.159699
2001.8371 0.157620
2001.8398 0.165123
2001.8426 0.162749
2001.8453 0.165584
2001.8480 0.165721
2001.8508 0.169893
2001.8535 0.168257
2001.8563 0.167213
2001.8590 0.160876
2001.8617 0.165629
2001.8645 0.163417
2001.8672 0.165072
2001.8700 0.162001
2001.8727 0.167614
2001.8754 0.170110
2001.8782 0.169500
2001.8809 0.169396
2001.8836 0.174985
2001.8864 0.162250
2001.8891 0.157802
2001.8919 0.155784
2001.8946 0.151784
2001.8973 0.157391
2001.9001 0.157728
2001.9028 0.152175
2001.9055 0.152576
2001.9083 0.148918
2001.9110 0.143874
2001.9138 0.142537
2001.9165 0.148124
2001.9192 0.147258
2001.9220 0.147416
2001.9247 0.148696
2001.9274 0.153404
2001.9302 0.147344
2001.9329 0.148699
2001.9357 0.139032
2001.9384 0.132766
2001.9411 0.136613
2001.9439 0.147773
2001.9466 0.145596
2001.9493 0.150187
2001.9521 0.149107
2001.9548 0.149021
2001.9576 0.150467
2001.9603 0.147402
2001.9630 0.150344
2001.9658 0.161323
2001.9685 0.166223
2001.9713 0.168138
