%yyyy.yyyy ___up(m)
2006.8720 0.913126
2006.8747 0.914011
2006.8775 0.912550
2006.8802 0.908792
2006.8830 0.909407
2006.8857 0.912599
2006.8884 0.899186
2006.8912 0.908875
2006.8939 0.912344
2006.8966 0.905077
2006.8994 0.916433
2006.9021 0.913187
2006.9049 0.910963
2006.9076 0.912005
2006.9103 0.911955
2006.9131 0.910816
2006.9158 0.903196
2006.9185 0.903344
2006.9213 0.912655
2006.9240 0.907479
2006.9268 0.901517
2006.9295 0.916518
2006.9322 0.902885
2006.9350 0.904884
2006.9405 0.910006
2006.9432 0.905892
2006.9459 0.901402
2006.9487 0.902306
2006.9514 0.908116
2006.9541 0.891231
2006.9569 0.893659
2006.9596 0.897742
2006.9624 0.903960
2006.9651 0.898651
2006.9678 0.897228
2006.9706 0.903217
2006.9733 0.895700
2006.9760 0.886412
2006.9788 0.899544
2006.9815 0.895887
2006.9843 0.903226
2006.9870 0.885726
2006.9897 0.883725
2006.9952 0.884973
2006.9979 0.900461
2007.0007 0.886491
2007.0034 0.890649
2007.0062 0.899836
2007.0089 0.890073
2007.0116 0.886263
2007.0144 0.889400
2007.0171 0.891574
2007.0198 0.892379
2007.0226 0.895163
2007.0253 0.890916
2007.0281 0.886819
2007.0308 0.896249
2007.0335 0.907191
2007.0363 0.902952
2007.0390 0.890938
2007.0418 0.899956
2007.0445 0.885182
2007.0472 0.889410
2007.0500 0.899464
2007.0527 0.903988
2007.0554 0.890419
2007.0582 0.884774
2007.0609 0.877524
2007.0637 0.900061
2007.0664 0.897580
2007.0691 0.885059
2007.0719 0.902554
2007.0746 0.887992
2007.0773 0.888649
2007.0801 0.883979
2007.0828 0.890585
2007.0856 0.896255
2007.0883 0.898580
2007.0910 0.895528
2007.0938 0.897361
2007.0965 0.887628
2007.0992 0.891885
2007.1020 0.885341
2007.1047 0.893004
2007.1075 0.891712
2007.1102 0.894054
2007.1129 0.894611
2007.1157 0.893026
2007.1184 0.881438
2007.1211 0.887579
2007.1239 0.885755
2007.1266 0.890815
2007.1294 0.887396
2007.1321 0.884497
2007.1348 0.892141
2007.1376 0.887739
2007.1403 0.889883
2007.1431 0.893693
2007.1458 0.895160
2007.1485 0.882249
2007.1513 0.888833
2007.1540 0.891460
2007.1567 0.880578
2007.1595 0.879314
2007.1622 0.890801
2007.1704 0.888838
2007.1732 0.890378
2007.1759 0.884910
2007.1786 0.892899
2007.1814 0.887745
2007.1841 0.891463
2007.1869 0.893293
2007.1896 0.896952
2007.1923 0.894414
2007.1951 0.894233
2007.1978 0.885003
2007.2005 0.890263
2007.2033 0.895331
2007.2060 0.885176
2007.2088 0.883734
2007.2115 0.880917
2007.2142 0.884367
2007.2170 0.885674
2007.2197 0.887390
2007.2225 0.896872
2007.2252 0.873853
2007.2279 0.875759
2007.2307 0.882377
2007.2334 0.881873
2007.2361 0.886080
2007.2389 0.886250
2007.2416 0.887821
2007.2471 0.885836
2007.2498 0.891875
2007.2526 0.878221
2007.2553 0.892816
2007.2608 0.874696
2007.2635 0.886768
2007.2690 0.889081
2007.2717 0.879113
2007.2745 0.876192
2007.2772 0.894793
2007.2882 0.866263
2007.2936 0.877614
2007.2964 0.881642
2007.2991 0.865897
2007.3018 0.883391
2007.3046 0.874133
2007.3073 0.870672
2007.3101 0.875007
2007.3128 0.883570
2007.3183 0.874442
2007.3210 0.882027
2007.3238 0.862796
2007.3265 0.870027
2007.3292 0.875612
2007.3320 0.872665
2007.3347 0.875401
2007.3374 0.877793
2007.3402 0.869853
2007.3429 0.864793
2007.3457 0.869907
2007.3484 0.875367
2007.3648 0.858327
2007.3676 0.876147
2007.3703 0.866891
2007.3730 0.867036
2007.3758 0.857629
2007.3840 0.869329
2007.3867 0.863370
2007.3895 0.864533
2007.3922 0.852721
2007.3949 0.857809
2007.3977 0.859200
2007.4004 0.860413
2007.4031 0.855843
2007.4059 0.865628
2007.4086 0.863888
2007.4114 0.856963
2007.4141 0.855907
2007.4168 0.862577
2007.4196 0.849789
2007.4223 0.852846
2007.4278 0.852593
2007.4305 0.863446
2007.4333 0.854570
2007.4360 0.861294
2007.4387 0.856018
2007.4415 0.859154
2007.4442 0.852699
2007.4470 0.864006
2007.4497 0.849869
2007.4606 0.858157
2007.4634 0.851142
2007.4661 0.857738
2007.4689 0.853222
2007.4716 0.854415
2007.4743 0.858306
2007.4771 0.851448
2007.4798 0.859613
2007.4825 0.854453
2007.4853 0.858552
2007.4880 0.859880
2007.4908 0.864667
2007.4935 0.853310
2007.4962 0.874230
2007.4990 0.857226
2007.5017 0.864728
2007.5072 0.868959
2007.5099 0.857184
2007.5181 0.862162
2007.5209 0.861668
2007.5264 0.867309
2007.5291 0.856059
2007.5318 0.865953
2007.5346 0.859551
2007.5373 0.874154
2007.5400 0.862248
2007.5428 0.860071
2007.5455 0.866171
2007.5483 0.879661
2007.5510 0.867858
2007.5537 0.871382
2007.5565 0.864709
2007.5592 0.864177
2007.5619 0.860099
2007.5647 0.862890
2007.5674 0.868953
2007.5702 0.862998
2007.5729 0.868413
2007.5756 0.861863
2007.5784 0.865948
2007.5811 0.866027
2007.5838 0.868412
2007.5866 0.871145
2007.5893 0.860988
2007.5921 0.864348
2007.5948 0.878207
2007.5975 0.876159
2007.6003 0.873192
2007.6030 0.862541
2007.6057 0.858852
2007.6085 0.880949
2007.6112 0.875118
2007.6140 0.872146
2007.6167 0.878209
2007.6194 0.897621
2007.6222 0.875410
2007.6249 0.885089
2007.6277 0.874418
2007.6304 0.885675
2007.6331 0.875837
2007.6359 0.868228
2007.6386 0.876580
2007.6413 0.883152
2007.6441 0.883650
2007.6468 0.884958
2007.6496 0.890810
2007.6523 0.886600
2007.6550 0.884021
2007.6578 0.885955
2007.6605 0.875000
2007.6632 0.887544
2007.6660 0.872048
2007.6687 0.885203
2007.6715 0.876564
2007.6742 0.878323
2007.6769 0.880180
2007.6797 0.887407
2007.6824 0.887211
2007.6851 0.887934
2007.6879 0.894422
2007.6906 0.895692
2007.6934 0.904889
2007.6961 0.883295
2007.6988 0.888627
2007.7043 0.894795
2007.7070 0.892928
2007.7098 0.905642
2007.7125 0.909435
2007.7153 0.907500
2007.7180 0.896657
2007.7207 0.899878
2007.7235 0.898170
2007.7262 0.906200
2007.7290 0.905511
2007.7317 0.900219
2007.7344 0.899409
2007.7372 0.899591
2007.7399 0.897703
2007.7426 0.893468
2007.7454 0.910309
2007.7481 0.903299
2007.7536 0.898145
2007.7563 0.908714
2007.7591 0.908483
2007.7618 0.907569
2007.7645 0.917629
2007.7673 0.908767
2007.7700 0.912376
2007.7728 0.908130
2007.7755 0.916909
2007.7782 0.922979
2007.7810 0.912541
2007.7837 0.914615
2007.7864 0.908624
2007.7892 0.909914
2007.7919 0.910983
2007.7947 0.912495
2007.7974 0.920344
2007.8001 0.907664
2007.8029 0.898050
2007.8056 0.905042
2007.8084 0.904677
2007.8111 0.910004
2007.8138 0.912773
2007.8166 0.920277
2007.8193 0.913786
2007.8220 0.908324
2007.8248 0.910788
2007.8275 0.912241
2007.8303 0.914863
2007.8330 0.906189
2007.8357 0.921756
2007.8385 0.914194
2007.8412 0.920029
2007.8439 0.912187
2007.8467 0.912013
2007.8494 0.906091
2007.8522 0.909545
2007.8549 0.921025
2007.8576 0.911279
2007.8604 0.913314
2007.8631 0.911294
2007.8658 0.919780
2007.8686 0.919296
2007.8713 0.922720
2007.8741 0.909991
2007.8768 0.914944
2007.8795 0.900885
2007.8823 0.906324
2007.8850 0.912224
2007.8877 0.913272
2007.8905 0.914121
2007.8932 0.904578
2007.8987 0.911231
2007.9014 0.913414
2007.9042 0.925827
2007.9069 0.920379
2007.9097 0.905405
2007.9124 0.911438
2007.9151 0.909705
2007.9179 0.910885
2007.9206 0.903452
2007.9233 0.908950
2007.9261 0.905928
2007.9288 0.902289
2007.9316 0.915980
2007.9343 0.900620
2007.9370 0.905994
2007.9398 0.903890
2007.9425 0.902142
2007.9452 0.909814
2007.9480 0.916803
2007.9507 0.909540
2007.9535 0.903947
2007.9562 0.903975
2007.9589 0.911261
2007.9617 0.894775
2007.9644 0.901591
2007.9671 0.896468
2007.9699 0.894045
2007.9726 0.917055
2007.9754 0.889141
2007.9781 0.900778
2007.9808 0.902804
2007.9836 0.903225
2007.9863 0.907664
2007.9890 0.912134
2007.9918 0.898097
2007.9945 0.897519
2008.0000 0.889991
2008.0027 0.892888
2008.0055 0.890481
2008.0082 0.891223
2008.0110 0.891817
2008.0137 0.888723
2008.0164 0.890036
2008.0192 0.905407
2008.0219 0.878127
2008.0246 0.890681
2008.0274 0.892302
2008.0301 0.889033
2008.0329 0.892805
2008.0356 0.892427
2008.0411 0.885686
2008.0438 0.888352
2008.0465 0.889870
2008.0493 0.891593
2008.0520 0.883319
2008.0548 0.890104
2008.0575 0.895700
2008.0602 0.888168
2008.0630 0.885785
2008.0657 0.888683
2008.0684 0.868461
2008.0712 0.884150
2008.0739 0.889504
2008.0767 0.885558
2008.0794 0.882939
2008.0821 0.889625
2008.0849 0.877487
2008.0876 0.892010
2008.0903 0.889266
2008.0931 0.887533
2008.0958 0.893680
2008.0986 0.883592
2008.1013 0.897871
2008.1040 0.885332
2008.1068 0.890108
2008.1095 0.893348
2008.1123 0.881772
2008.1150 0.887514
2008.1177 0.887408
2008.1205 0.879717
2008.1232 0.886444
2008.1259 0.882221
2008.1287 0.887750
2008.1314 0.881643
2008.1342 0.864652
2008.1369 0.880228
2008.1396 0.876305
2008.1424 0.879747
2008.1451 0.883539
2008.1478 0.877204
2008.1506 0.864155
2008.1533 0.872229
2008.1561 0.881401
2008.1588 0.883783
2008.1615 0.873337
2008.1643 0.878426
2008.1670 0.873335
2008.1697 0.879102
2008.1725 0.886449
2008.1752 0.868683
2008.1780 0.863294
2008.1807 0.877602
2008.1834 0.861414
2008.1862 0.872650
2008.1889 0.870411
2008.1916 0.861191
2008.1944 0.864092
2008.1971 0.875154
2008.1999 0.867231
2008.2026 0.872104
2008.2053 0.866601
2008.2081 0.862730
2008.2108 0.862929
2008.2136 0.864402
2008.2163 0.877444
2008.2190 0.861407
2008.2218 0.871694
2008.2245 0.864049
2008.2272 0.864742
2008.2300 0.871547
2008.2327 0.865517
2008.2355 0.871385
2008.2382 0.869635
2008.2409 0.883191
2008.2437 0.879230
2008.2464 0.862024
2008.2491 0.867869
2008.2519 0.865431
2008.2546 0.866218
2008.2574 0.873013
2008.2601 0.863544
2008.2628 0.863819
2008.2656 0.868777
2008.2683 0.857057
2008.2710 0.848452
2008.2738 0.862549
2008.2765 0.883406
2008.2793 0.865963
2008.2820 0.882497
2008.2847 0.876811
2008.2875 0.856512
2008.2902 0.859591
2008.2930 0.860904
2008.2957 0.860144
2008.2984 0.859033
2008.3012 0.850117
2008.3039 0.865595
2008.3066 0.853948
2008.3094 0.867295
2008.3121 0.869747
2008.3149 0.881585
2008.3176 0.861767
2008.3203 0.858362
2008.3231 0.867364
2008.3258 0.849428
2008.3285 0.866344
2008.3313 0.857126
2008.3340 0.865462
2008.3368 0.856536
2008.3395 0.865143
2008.3422 0.853059
2008.3450 0.864896
2008.3477 0.856232
2008.3504 0.856251
2008.3532 0.848361
2008.3559 0.861063
2008.3587 0.875662
2008.3614 0.860591
2008.3641 0.857663
2008.3669 0.848078
2008.3696 0.853046
2008.3723 0.847617
2008.3751 0.857563
2008.3778 0.854657
2008.3806 0.866948
2008.3833 0.854559
2008.3860 0.850736
2008.3888 0.848376
2008.3915 0.841879
2008.3943 0.864854
2008.3970 0.863214
2008.3997 0.852685
2008.4025 0.863430
2008.4052 0.862773
2008.4079 0.842839
2008.4107 0.852585
2008.4134 0.846656
2008.4162 0.853630
2008.4189 0.854222
2008.4216 0.845474
2008.4244 0.852056
2008.4271 0.849677
2008.4298 0.845946
2008.4326 0.849065
2008.4353 0.848698
2008.4381 0.837664
2008.4408 0.847383
2008.4435 0.854783
2008.4463 0.856313
2008.4490 0.857727
2008.4517 0.855293
2008.4545 0.839693
2008.4572 0.853246
2008.4600 0.853483
2008.4627 0.849788
2008.4654 0.847028
2008.4682 0.859031
2008.4709 0.854701
2008.4736 0.851096
2008.4764 0.837733
2008.4791 0.847369
2008.4819 0.850048
2008.4846 0.849254
2008.4873 0.849077
2008.4901 0.847361
2008.4928 0.845181
2008.4956 0.844521
2008.4983 0.847242
2008.5010 0.847853
2008.5038 0.856030
2008.5065 0.855687
2008.5092 0.847284
2008.5120 0.856017
2008.5147 0.845981
2008.5175 0.845964
2008.5202 0.841667
2008.5229 0.862217
2008.5257 0.847222
2008.5284 0.841218
2008.5311 0.859425
2008.5339 0.847167
2008.5366 0.849579
2008.5394 0.847164
2008.5421 0.853823
2008.5448 0.852856
2008.5476 0.855387
2008.5503 0.853930
2008.5530 0.859381
2008.5558 0.848671
2008.5585 0.865950
2008.5613 0.862132
2008.5640 0.858272
2008.5667 0.863223
2008.5695 0.855623
2008.5722 0.858117
2008.5749 0.866192
2008.5777 0.859486
2008.5804 0.866443
2008.5832 0.860770
2008.5859 0.870415
2008.5886 0.874923
2008.5914 0.864148
2008.5941 0.873519
2008.5969 0.875527
2008.5996 0.872498
2008.6023 0.867513
2008.6051 0.865713
2008.6078 0.870298
2008.6105 0.873116
2008.6133 0.863612
2008.6160 0.865332
2008.6188 0.877067
